sensor,timestamp,x,y,z
3,68036,-0.375000,0.246094,0.812500
1,68047,-0.003906,0.820312,0.566406
2,68058,0.207031,-0.285156,0.898438
3,68069,-0.371094,0.242188,0.812500
1,68080,0.000000,0.820312,0.570312
2,68091,0.207031,-0.289062,0.894531
3,68102,-0.375000,0.246094,0.812500
1,68113,-0.003906,0.820312,0.570312
2,68124,0.207031,-0.285156,0.898438
3,68135,-0.375000,0.242188,0.820312
1,68146,0.000000,0.816406,0.566406
2,68157,0.207031,-0.285156,0.906250
3,68168,-0.375000,0.246094,0.804688
1,68179,-0.003906,0.820312,0.570312
2,68190,0.207031,-0.289062,0.898438
3,68201,-0.375000,0.246094,0.812500
1,68212,-0.003906,0.820312,0.570312
2,68223,0.203125,-0.289062,0.898438
3,68234,-0.375000,0.246094,0.812500
1,68245,-0.007812,0.820312,0.570312
2,68256,0.210938,-0.285156,0.898438
3,68267,-0.382812,0.250000,0.812500
1,68278,-0.003906,0.824219,0.570312
2,68289,0.210938,-0.289062,0.902344
3,68300,-0.375000,0.246094,0.816406
1,68311,0.000000,0.816406,0.570312
2,68322,0.207031,-0.285156,0.894531
3,68333,-0.375000,0.242188,0.816406
1,68344,-0.007812,0.820312,0.574219
2,68355,0.207031,-0.289062,0.898438
3,68366,-0.378906,0.246094,0.812500
1,68377,-0.003906,0.816406,0.566406
2,68388,0.207031,-0.285156,0.906250
3,68399,-0.371094,0.246094,0.816406
1,68410,-0.003906,0.824219,0.570312
2,68421,0.203125,-0.281250,0.898438
3,68432,-0.375000,0.246094,0.820312
1,68443,-0.003906,0.820312,0.566406
2,68454,0.207031,-0.285156,0.898438
3,68465,-0.375000,0.246094,0.816406
1,68476,0.000000,0.816406,0.562500
2,68487,0.207031,-0.281250,0.898438
3,68498,-0.371094,0.246094,0.816406
1,68509,0.000000,0.820312,0.570312
2,68520,0.207031,-0.289062,0.898438
3,68531,-0.375000,0.246094,0.812500
1,68542,-0.007812,0.820312,0.570312
2,68553,0.207031,-0.289062,0.906250
3,68564,-0.375000,0.246094,0.812500
1,68575,-0.003906,0.820312,0.570312
2,68586,0.207031,-0.285156,0.898438
3,68597,-0.371094,0.242188,0.816406
1,68608,-0.007812,0.824219,0.566406
